date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged,run_type
2026-05-18,notebook-lm-for-education-a-practitioners-guide,01-the-bounded-tool,2570,4,3,yes,3,no,"RAG architecture as source-grounded retrieval; citation discipline reduces fabrication ~40% to ~13%",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,02-your-first-notebook,1925,3,2,yes,2,no,"Silent ingestion failure modes + three-step citation verification (passage exists / supports claim / omits nothing critical)",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,03-output-type-is-a-pedagogical-choice,2147,4,1,yes,3,no,"Passive/active output spectrum + four-question decision framework + Note-to-Source loop as pedagogical-content-knowledge multiplier",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,04-the-k12-teacher,2029,3,1,yes,4,no,"45-minute unit prep workflow (5+5+10+10+15) with mandatory teacher review at every output",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,05-the-k12-student,2142,4,1,yes,4,no,"Active-vs-passive assignment design: shortcut produces worse artifact than engaged path. Four engagement patterns (source-check/argument-extension/Socratic/error-hunt)",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,06-google-classroom-integration,1987,3,4,yes,2,no,"Three structural access gates (admin toggle / age restriction / subscription tier) + phased rollout history (Sept 2025 / April 2026)",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,07-assessment-redesign,2124,4,1,yes,3,no,"Three-question assessment audit (goal / substitution possible? / is substitution the goal?) + four redesign frameworks",1,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,08-academic-integrity,2096,4,1,yes,3,no,"MDPI 2025 finding: ethical beliefs predict AI use behavior; policy awareness does not. Make reasoning visible in policy",1,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,09-higher-ed-research-and-synthesis,2116,3,1,yes,3,no,"Cross-corpus synthesis as the high-leverage research workflow; Note-to-Source loop for outline development; data-sensitivity classification step",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,10-higher-ed-course-design-and-self-testing,2144,4,1,yes,4,no,"Monash self-testing configuration (Learning Guide forces retrieval before explanation); NYU teaching-analytics feedback loop; two design principles (accessibility+optionality vs. retrieval-practice-integration)",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,11-privacy-equity-and-the-access-gap,2098,4,2,yes,3,no,"Three access gates + institutional/personal account privacy regime distinction + open-source alternatives for data sovereignty",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,12-choosing-the-right-tool,1712,3,2,yes,2,no,"Four-question tool selection framework (goal/corpus/citation/privacy) + four-tool comparison (NotebookLM/ChatGPT/Copilot/Perplexity)",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,13-the-administrator-brief,1702,3,1,yes,3,no,"One-page brief structured around the three administrator questions (privacy / learning / equity) + honest-framing over enthusiasm",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,14-honest-capability-assessment,2294,5,3,yes,3,no,"Four-bucket evidence framework (institutional exemplars / conference papers / emerging case studies / learning-science plausibility) + stable-core vs current-state separation principle",0,working-draft
2026-05-18,notebook-lm-for-education-a-practitioners-guide,97-fundamental-themes,~6750,5,0,n/a,n/a,n/a,"Appendix wrapper added; file renamed from 97-fundamenta-themes.md (typo fix); reframed as Appendix A — bridge to Frictional / Irreducibly Human / Brutalist / Boondoggling series",0,rename + reframe
